African	Phi
comparison	so sánh
compete	cạnh tranh
competition	cạnh tranh
competitive	cạnh tranh
competitor	đối thủ cạnh tranh
complain	khiếu nại khiếu
complaint	nại
complete	hoàn thành hoàn
completely	toàn
complex	phức tạp phức
complicated	tạp
component	thành phần
compose	sáng
composition	tác
comprehensive	toàn diện
computer	máy tính
concentrate	tập
concentration	trung
concept	khái niệm
concern	quan tâm
concerned	liên quan
concert	buổi hòa nhạc
conclude	kết
conclusion	luận kết luận điều kiện
concrete	cụ thể tiến hành hội nghị tự tin xác nhận xung đột đối đầu bối rối Quốc hội quốc hội kết nối ý thức kết nối đồng thuận hậu quả bảo thủ
condition	
conduct	
conference	
confidence	
confident	
confirm	
conflict	
confront	
confusion	
congressional	
connect	
connection	
consciousness	
consensus	
consequence	
conservative	
consider	xem xét
considerable	đáng
consideration	xem xét
consist	bao gồm
consistent	ổn định
constant	liên tục
constantly	không ngừng
constitute	tạo nên
constitutional	hiến pháp
construct	cấu trúc
construction	xây dựng
consultant	nhà tư vấn
consume	tiêu thụ
consumer	của người tiêu dùng
consumption	tiêu thụ
contact	xúc
contain	chứa
container	đựng
contemporary	hiện đại
content	nội dung
contest	cuộc thi
context	bối cảnh
continue	tiếp tục
continued	tiếp tục
contract	hợp đồng
contrast	tương phản
contribute	góp phần
contribution	đóng góp
control	kiểm soát
controversial	gây tranh cãi
controversy	cãi
convention	ước
conventional	thông thường
conversation	trò chuyện
convert	chuyển đổi
conviction	niềm tin
convince	thuyết phục
cook	nấu ăn
cookie	Cookie
cooking	nấu
cool	mát
cooperation	hợp tác
cop	cảnh sát
cope	đối phó
copy	bản
core	cốt lõi
corn	ngô
corner	góc
corporate	của công ty
corporation	tập đoàn
correct	đúng
correspondent	phóng
cost	chi phí
cotton	bông
couch	chiếc ghế
could	có thể
council	hội đồng
counselor	cố vấn
count	đếm
counter	ngược
country	nước
county	quận
couple	vài
courage	can đảm
course	quá trình
court	tòa án
cousin	anh em họ
cover	che
coverage	phủ sóng
cow	bò
crack	nứt
craft	nghề
crash	sụp đổ
crazy	điên
cream	kem
create	tạo
creation	sáng tạo
creative	sáng tạo
creature	sinh vật
credit	tín dụng
crew	phi hành đoàn
crime	tội phạm
criminal	tội phạm
crisis	khủng hoảng
criteria	tiêu chí
critic	phê bình
critical	chỉ trích
criticism	phê bình
criticize	chỉ trích
crop	cây trồng
cross	chéo
crowd	đám đông
crucial	quan trọng
cry	khóc
cultural	văn hóa
culture	văn hóa
cup	cốc
curious	tò mò
current	hiện
currently	hiện
curriculum	chương trình giảng dạy
custom	tùy chỉnh
customer	của khách hàng
cut	cắt
cycle	chu
dad	cha
daily	hàng ngày
damage	thiệt hại
dance	nhảy
danger	nguy hiểm
dangerous	nguy hiểm
dare	dám
dark	tối
darkness	bóng tối
data	dữ liệu
date	ngày
daughter	con gái
day	ngày
dead	chết
deal	thỏa thuận
dealer	đại lý
dear	thân yêu
death	chết
debate	tranh cãi
debt	nợ
decade	thập niên
decide	quyết định
decision	quyết định
deck	boong
declare	khai báo
decline	giảm
decrease	giảm
deep	sâu
deeply	sâu
deer	hươu
defeat	thất bại
defend	bảo vệ
defendant	bị cáo
defense	quốc phòng
defensive	phòng thủ
deficit	thâm hụt
define	xác định
definitely	chắc chắn
definition	định nghĩa
degree	mức độ
delay	chậm trễ
deliver	cung cấp
delivery	giao hàng
demand	theo yêu cầu
democracy	dân chủ
democratic	dân chủ
demonstrate	thể hiện
demonstration	cuộc biểu tình
deny	từ chối
department	bộ phận
depend	depend
dependent	phụ thuộc
depending	tùy thuộc
depict	được trưng
depression	trầm cảm
depth	sâu
deputy	phó
derive	lấy được
describe	mô tả
description	mô tả
desert	sa mạc
deserve	xứng đáng
design	thiết kế
designer	nhà thiết kế
desire	mong muốn
desk	bàn
desperate	tuyệt vọng
despite	mặc dù
destroy	phá hủy
destruction	tàn phá
detail	chi tiết
detailed	chi tiết
detect	phát hiện
determine	xác định
develop	phát triển
developing	đang phát triển
development	phát triển
device	thiết bị
devote	dành
dialogue	thoại
die	die
diet	chế độ ăn uống
differ	khác nhau
difference	chênh lệch
different	khác nhau
differently	khác nhau
difficult	khó khăn
difficulty	khó khăn
dig	đào
digital	kỹ thuật số
dimension	khía cạnh
dining	ăn
dinner	bữa ăn tối
direct	trực tiếp
direction	chỉ đạo
directly	trực tiếp
director	giám đốc
dirt	bẩn
dirty	bẩn
disability	khuyết tật
disagree	không đồng ý
disappear	biến mất
disaster	thảm họa
discipline	kỷ luật
discourse	bài giảng
discover	khám phá
discovery	phát hiện
discrimination	phân biệt đối xử
discuss	thảo luận
discussion	thảo luận
disease	bệnh
dish	món ăn
dismiss	bỏ
disorder	rối loạn
display	trưng bày
dispute	tranh chấp
distance	khoảng cách
distant	xa xôi
distinct	biệt
distinction	phân biệt
distinguish	phân biệt
distribute	phân phối
distribution	phân phối
district	huyện
diverse	đa dạng
diversity	đa dạng
divide	chia
division	phân
divorce	ly dị
do	làm
doctor	bác sĩ
document	tài liệu
dog	chó
domestic	trong nước
dominant	chiếm ưu thế
dominate	thống trị
door	cửa
double	đôi
doubt	nghi ngờ
down	xuống
downtown	trung tâm thành phố
dozen	chục
draft	dự thảo
drag	kéo
drama	kịch
dramatic	ấn tượng
dramatically	mạnh
draw	vẽ
drawing	vẽ
dream	giấc mơ
dress	váy
drink	uống
drive	ổ
driver	lái xe
drop	thả
drug	thuốc
dry	khô
due	do
during	trong
dust	bụi
duty	bổn phận
e-mail	e-mail
each	mỗi
eager	háo hức
ear	tai
early	đầu
earn	kiếm được
earnings	thu nhập
earth	trái đất
ease	một cách dễ dàng
easily	dễ dàng
east	đông
eastern	đông
easy	dễ
eat	ăn
economic	kinh tế
economics	kinh tế học
economist	kinh tế
economy	nền kinh tế
edge	cạnh
edition	phiên bản
editor	biên tập
educate	giáo dục
education	giáo dục
educational	giáo dục
educator	giáo dục
effect	hiệu lực thi hành
effective	có hiệu quả
effectively	một cách hiệu quả
efficiency	hiệu quả
efficient	hiệu quả
effort	nỗ lực
egg	trứng
eight	Tám
either	hoặc
elderly	già
elect	bầu
election	cử
electric	điện
electricity	điện
electronic	điện tử
element	thành phần
elementary	tiểu
eliminate	loại bỏ
elite	ưu tú
else	khác
elsewhere	ở nơi khác
embrace	ôm
emerge	nổi lên
emergency	khẩn cấp
emission	xạ
emotion	cảm xúc
emotional	cảm xúc
emphasis	nhấn mạnh
emphasize	nhấn mạnh
employ	employ
employee	nhân viên
employer	sử dụng lao động
employment	việc làm
empty	rỗng
enable	cho phép
encounter	gặp gỡ
encourage	khuyến khích
end	thúc
enemy	kẻ thù
energy	năng lượng
enforcement	thực thi pháp
engage	tham gia vào
engine	động cơ
engineer	kỹ sư
engineering	kỹ thuật
enhance	tăng cường
enjoy	hưởng
enormous	rất lớn
enough	đủ
ensure	đảm bảo
enter	nhập
enterprise	doanh nghiệp
entertainment	giải trí
entire	toàn bộ
entirely	hoàn toàn
entrance	lối
entry	vào
environment	môi trường
environmental	môi trường
episode	tập
equal	bằng
equally	bình đẳng
equipment	thiết bị
era	thời kỳ
error	lỗi
escape	thoát
especially	đặc biệt là
essay	bài luận
essential	cần thiết
essentially	về cơ bản
establish	lập
establishment	thành lập
estate	bất động
estimate	ước tính
etc	vv
ethics	đạo đức
ethnic	dân tộc
evaluate	đánh giá
evaluation	đánh giá
even	thậm chí
evening	buổi tối
event	sự kiện
eventually	cuối cùng
ever	bao giờ
every	mỗi
everybody	tất cả mọi người
everyday	hàng ngày
everyone	tất cả mọi người
everything	tất cả mọi thứ
everywhere	ở khắp mọi nơi
evidence	bằng chứng
evolution	tiến hóa
evolve	tiến hóa
exact	chính xác
exactly	chính xác
examination	kiểm tra
examine	xem xét
example	ví dụ
exceed	quá
excellent	xuất sắc
except	, ngoại trừ
exception	ngoại lệ
exchange	trao đổi
exciting	thú vị
executive	giám đốc điều hành
exercise	tập thể dục
exhibit	triển lãm
exhibition	triển lãm
exist	tồn tại
existence	sự tồn tại
existing	hiện hữu
expand	mở rộng
expansion	mở rộng
expect	mong đợi
expectation	kỳ vọng
expense	chi phí
expensive	tốn kém
experience	kinh nghiệm
experiment	thí nghiệm
expert	chuyên gia
explain	giải thích
explanation	giải thích
explode	nổ
explore	khám phá
explosion	nổ
expose	vạch trần
exposure	tiếp xúc
express	rõ ràng
expression	biểu hiện
extend	mở rộng
extension	mở rộng
extensive	mở rộng
extent	phạm vi
external	bên ngoài
extra	thêm
extraordinary	phi thường
extreme	cực đoan
extremely	vô cùng
eye	mắt
fabric	vải
face	mặt
facility	cơ sở
fact	thực tế
factor	yếu tố
factory	nhà máy
faculty	giảng
fade	phai
fail	thất bại
failure	thất bại
fair	công bằng
fairly	khá
faith	đức tin
fall	sụp đổ
false	giả
familiar	quen thuộc
family	trong gia đình
famous	nổi tiếng
fan	hâm mộ
fantasy	tưởng tượng
far	xa
farm	trang trại
farmer	nông dân
fashion	thời trang
fast	nhanh
fat	mỡ
fate	phận
father	cha
fault	lỗi
favor	ủng hộ
favorite	yêu thích
fear	sợ
feature	tính năng
federal	liên bang
fee	phí
feed	thức ăn
feel	cảm giác
feeling	cảm giác
fellow	đồng
female	nữ
fence	hàng rào
few	vài
fewer	ít
fiber	chất xơ
fiction	hư cấu
field	lĩnh vực
fifteen	mười lăm
fifth	thứ
fifty	năm mươi
fight	cuộc chiến
fighter	máy bay chiến đấu
fighting	chiến đấu
figure	hình
file	tập
fill	điền
film	phim
final	chính thức
finally	cuối cùng
finance	tài trợ
financial	tài chính
find	tìm
finding	phát hiện
fine	tốt
finger	ngón tay
finish	kết thúc
fire	lửa
firm	công ty
first	đầu tiên
fish	cá
fishing	cá
fit	phù hợp với
fitness	tập thể dục
five	lăm
fix	sửa chữa
flag	cờ
flame	ngọn lửa
flat	phẳng
flavor	hương
flee	chạy trốn
flesh	thịt
flight	chuyến bay
float	float
floor	sàn
flow	dòng chảy
flower	hoa
fly	bay
focus	tập trung
folk	dân gian
follow	làm theo
following	sau
food	ăn
foot	chân
football	bóng đá
for	cho
force	lực lượng
foreign	nước ngoài
forest	rừng
forever	mãi mãi
forget	quên
form	hình thức
formal	chính thức
formation	hình thành
former	cựu
formula	công thức
forth	ra
fortune	tài sản
forward	mong
found	tìm thấy
foundation	nền tảng
founder	sáng lập
four	Bốn
fourth	thứ tư
frame	khung
framework	khuôn khổ
free	tự do
freedom	tự do
freeze	đóng băng
frequency	tần số
frequent	thường xuyên
frequently	thường xuyên
fresh	tươi
friend	friend
friendly	thân thiện
friendship	hữu nghị
from	từ
front	phía trước
fruit	quả
frustration	thất vọng
fuel	nhiên liệu
full	đầy đủ
fully	hoàn toàn
fun	vui vẻ
function	chức năng
fund	quỹ
fundamental	cơ bản
funding	tài trợ
funeral	tang lễ
funny	vui
furniture	đồ nội thất
furthermore	hơn nữa
future	trong tương lai
gain	tăng
galaxy	thiên hà
gallery	gallery
game	trò chơi
gang	băng đảng
gap	khoảng cách
garage	gara
garden	vườn
garlic	tỏi
gas	khí
gate	cổng
gather	thu thập
gay	gay
gaze	Ánh mắt
gear	thiết bị
gender	giới
gene	gen
general	nói chung
generally	thường
generate	tạo ra
generation	hệ
genetic	gen
gentleman	quý ông
gently	nhẹ nhàng
gesture	cử chỉ
get	get
ghost	ma
giant	khổng lồ
gift	món quà
gifted	tặng
girl	cô gái
girlfriend	bạn gái
give	Hãy cho
given	cho
glad	vui
glance	cái nhìn
glass	kính
global	toàn cầu
glove	găng tay
go	đi
goal	mục tiêu
gold	vàng
golden	vàng
golf	golf
good	tốt
government	chính phủ
governor	đốc
grab	lấy
grade	lớp
gradually	dần dần
graduate	tốt nghiệp
grain	hạt
grand	lớn
grandfather	ông nội
grandmother	bà nội
grant	trợ
grass	cỏ
grave	mộ
gray	xám
great	vĩ đại
greatest	nhất
green	màu xanh lá cây
grocery	tạp hóa
ground	đất
group	nhóm
grow	phát triển
growing	ngày càng
growth	tăng trưởng
guarantee	Bảo
guard	vệ
guess	đoán
guest	của khách
guide	dẫn
guideline	châm
guilty	tội
gun	súng
guy	chàng
habit	thói quen
habitat	môi trường sống
hair	tóc
half	nửa
hall	sảnh
hand	tay
handful	nắm
handle	tay cầm
hang	treo
happen	xảy ra
happy	hạnh phúc
hard	khó
hardly	khó
hat	mũ
hate	ghét
have	có
he	ông
head	đầu
headline	tít
headquarters	trụ sở
health	sức khỏe
healthy	sức khỏe
hear	nghe
hearing	nghe
heart	trái tim
heat	nhiệt
heaven	trời
heavily	nặng
heavy	nặng
heel	gót
height	chiều cao
helicopter	máy bay trực thăng
hell	địa ngục
hello	chào
help	sự giúp đỡ
helpful	hữu ích
her	của mình
here	đây
heritage	di sản
hero	hùng
herself	mình
hey	hey
hi	hi
hide	hide
high	cao
highlight	nổi bật
highly	cao
highway	đường cao tốc
hill	đồi
him	ông
himself	mình
hip	hông
hire	thuê
his	của ông
historian	sử gia
historic	lịch sử
historical	lịch sử
history	lịch sử
hit	hit
hold	giữ
hole	lỗ
holiday	lễ
holy	thánh
home	nhà
homeless	vô gia cư
honest	trung thực
honey	mật ong
honor	vinh
hope	hy vọng
horizon	chân trời
horror	kinh dị
horse	ngựa
hospital	bệnh viện
host	chủ
hot	nóng
hotel	khách sạn
hour	giờ
house	nhà
household	hộ gia đình
housing	nhà ở
how	như thế nào
however	tuy nhiên
huge	khổng lồ
human	con người
humor	hài hước
hundred	trăm
hungry	đói
hunter	thợ săn
hunting	săn
hurt	tổn thương
husband	chồng
hypothesis	giả thuyết
ice	băng
idea	ý tưởng
ideal	lý tưởng
identification	xác định
identify	xác định
identity	danh tính
ie	tức là
if	nếu
ignore	bỏ qua
ill	bệnh
illegal	lậu
illness	bệnh
illustrate	minh họa
image	hình ảnh
imagination	tưởng tượng
imagine	tưởng tượng
immediate	trước mắt
immediately	ngay lập tức
immigrant	di dân
immigration	nhập cư
impact	tác động
implement	thực hiện
implication	hàm ý
imply	nghĩa
importance	tầm quan trọng
important	quan trọng
impose	áp đặt
impossible	không thể
impress	gây ấn tượng
impression	ấn tượng
impressive	ấn tượng
improve	nâng cao
improvement	cải thiện
in	trong
incentive	khuyến khích
incident	sự cố
include	bao gồm
including	bao gồm
income	thu nhập
incorporate	Kết hợp
increase	tăng
increased	tăng
increasing	tăng
increasingly	ngày càng
incredible	đáng kinh ngạc
indeed	thực sự
independence	độc lập
independent	độc lập
index	chỉ số
indicate	cho thấy
indication	dấu hiệu
individual	cá nhân
industrial	công nghiệp
industry	ngành công nghiệp
infant	trẻ sơ sinh
infection	nhiễm
inflation	lạm phát
influence	ảnh hưởng
inform	thông báo
information	thông tin
ingredient	thành phần
initial	ban đầu
initially	ban đầu
initiative	chủ động
injury	chấn thương
inner	bên trong
innocent	vô tội
inquiry	điều tra
inside	bên trong
insight	cái nhìn sâu sắc
insist	nhấn mạnh
inspire	Inspire
install	cài đặt
instance	Ví dụ
instead	thay vì
institution	tổ chức
institutional	thể chế
instruction	hướng dẫn
instructor	giảng viên
instrument	cụ
insurance	bảo hiểm
intellectual	trí tuệ
intelligence	thông minh
intend	có ý định
intense	dữ dội
intensity	cường
intention	ý định
interaction	tương tác
interest	quan tâm
interested	quan tâm đến
interesting	thú vị
internal	nội bộ
international	quốc tế
interpret	giải thích
interpretation	giải thích
intervention	sự can thiệp của
interview	cuộc phỏng vấn
into	vào
introduce	giới thiệu
introduction	giới thiệu
invasion	cuộc xâm lược
invest	đầu tư
investigate	điều tra
investigation	điều tra
investigator	điều tra
investment	đầu tư
investor	đầu tư
invite	mời
involve	liên quan đến
involved	tham gia
involvement	sự tham gia của
iron	sắt
island	đảo
issue	vấn đề
it	nó
item	mục
its	của
itself	bản thân
jacket	áo
jail	tù
jet	jet
job	công việc
join	tham gia
joint	liên
joke	đùa
journal	tạp chí
journalist	nhà báo
journey	hành trình
joy	niềm vui
judge	tòa
judgment	án
juice	nước
jump	nhảy
junior	junior
jury	ban giám khảo
just	chỉ
justice	công bằng
justify	biện minh
keep	giữ
key	chìa khóa
kick	đá
kid	trẻ
kill	giết
killer	kẻ giết người
killing	diệt
kind	loại
king	vua
kiss	nụ hôn
kitchen	bếp
knee	đầu gối
knife	con dao
knock	gõ
know	bí quyết
knowledge	kiến thức
lab	phòng thí nghiệm
label	nhãn
labor	lao động
laboratory	trong phòng thí nghiệm
lack	thiếu
lady	phụ nữ
lake	hồ
land	đất
landscape	cảnh quan
language	ngôn ngữ
lap	đùi
large	lớn
largely	chủ yếu
last	cuối cùng
late	trễ
later	sau
latter	sau
laugh	cười
launch	ra mắt
law	luật
lawn	cỏ
lawsuit	kiện
lawyer	luật sư
lay	đặt
layer	lớp
lead	dẫn
leader	lãnh đạo
leadership	lãnh đạo
leading	hàng đầu
leaf	lá
league	giải đấu
lean	nghiêng
learn	học
learning	học
least	tối thiểu
leather	da
leave	nghỉ
left	trái
leg	chân
legacy	di sản
legal	hợp pháp
legend	truyền thuyết
legislation	luật
legitimate	hợp pháp
lemon	chanh
length	chiều dài
less	ít
lesson	bài học
let	let
letter	thư
level	mức
liberal	tự do
library	thư viện
license	giấy phép
lie	dối trá
life	cuộc sống
lifestyle	lối sống
lifetime	đời
lift	lift
light	ánh sáng
like	như
likely	có khả năng
limit	giới hạn
limitation	hạn chế
limited	giới hạn
line	dòng
link	liên kết
lip	môi
list	danh sách
listen	nghe
literally	theo nghĩa đen
literary	văn học
literature	văn học
little	ít
live	sống
living	sinh hoạt
load	tải
loan	cho vay
local	địa phương
locate	xác định vị trí
location	vị trí
lock	khóa
long	dài
long-term	dài hạn
look	nhìn
loose	lỏng lẻo
lose	mất
loss	mất
lost	mất
lot	rất nhiều
lots	rất nhiều
loud	ồn ào
love	yêu
lovely	đáng yêu
lover	người yêu
low	thấp
lower	thấp
luck	may mắn
lucky	may mắn
lunch	trưa
lung	phổi
machine	máy
mad	điên
magazine	tạp chí
mail	tử
main	chính
mainly	chủ yếu
maintain	duy trì
maintenance	bảo dưỡng
major	lớn
majority	phần lớn
make	làm cho
maker	nhà sản xuất
makeup	trang điểm
male	nam
mall	mall
man	người
manage	quản lý
management	quản lý
manager	quản lý
manner	cách
manufacturer	nhà sản xuất
manufacturing	sản xuất
many	nhiều
map	đồ
margin	lề
mark	đánh dấu
market	thị trường
marketing	marketing
marriage	hôn nhân
married	kết hôn
marry	lập gia đình
mask	mask
